WhiteElo,BlackElo,pre_eval,post_eval,queen_trade_made,first_queen_trade,my_color,result
1339,1231,-25,-32,True,8.0,Black,0-1
1500,1235,92,-417,False,30.0,Black,1-0
1731,1236,315,-694,False,34.0,Black,1-0
1036,1244,-117,-315,True,30.0,Black,1-0
1556,1245,-233,-217,False,40.0,Black,1-0
1354,1239,-519,-764,True,34.0,Black,1-0
1529,1219,-295,-300,True,50.0,Black,0-1
1676,1199,-424,-592,True,58.0,Black,0-1
1222,1159,18,-1,True,6.0,Black,0-1
1494,1209,-32,-39,False,12.0,Black,1-0
1790,1221,-722,-719,True,50.0,Black,1-0
1558,1269,-17,-99999,True,38.0,Black,1-0
1494,1561,-417,-430,True,52.0,Black,1-0
